Time (s);Position_X;Position_Y;norme;vitesse;acceleration
0;0;0,17;0,17;0;0
0,0001;0;0,17;0,17;0;0
0,0002;0,000340292;0,170195727;0,170196067;1,960674571;19606,74571
0,0003;0,000679975;0,170388759;0,170390116;1,940483155;-201,9141575
0,0004;0,001019696;0,170579093;0,170582141;1,920252668;-202,3048707
0,0005;0,001359555;0,170766489;0,170771901;1,89759599;-226,5667833
0,0006;0,001699875;0,170950119;0,17095857;1,866697954;-308,9803581
0,0007;0,002041391;0,171129005;0,17114118;1,826094773;-406,0318026
0,0008;0,002383412;0,171304035;0,171320615;1,794348088;-317,4668544
0,0009;0,002724893;0,171475063;0,171496712;1,760975158;-333,7293036
0,001;0,003065783;0,171643154;0,171670532;1,738193569;-227,8158911
0,0011;0,00340619;0,171808463;0,171842224;1,716923214;-212,7035462
0,0012;0,003746328;0,171970792;0,172011594;1,693699695;-232,2351842
0,0013;0,004086387;0,172129968;0,172178467;1,668733511;-249,6618421
0,0014;0,004426495;0,172285802;0,172342657;1,641894212;-268,392996
0,0015;0,004766698;0,172437888;0,172503758;1,611016826;-308,7738608
0,0016;0,005106902;0,172586055;0,172661596;1,578376627;-326,4019837
0,0017;0,005447378;0,172729741;0,172815617;1,540208453;-381,6817463
0,0018;0,005788555;0,172869174;0,172966062;1,50445401;-357,5444272
0,0019;0,006130441;0,173004223;0,173112806;1,467437667;-370,1634252
0,002;0,006473048;0,173134944;0,173255906;1,431001416;-364,3625145
0,0021;0,0068164;0,173261121;0,173395154;1,392475124;-385,2629145
0,0022;0,00716037;0,173382583;0,173530375;1,352210065;-402,6505955
0,0023;0,00750489;0,173499515;0,173661754;1,313797982;-384,1208296
0,0024;0,007849796;0,17361238;0,173789751;1,279968369;-338,296133
0,0025;0,008194857;0,173721124;0,173914303;1,245512424;-344,5594493
0,0026;0,008539864;0,17382565;0,174035301;1,209984181;-355,2824228
0,0027;0,00888502;0,173926256;0,174153054;1,177527561;-324,5662079
0,0028;0,009230511;0,174023;0,17426763;1,145765613;-317,6194732
0,0029;0,009576379;0,174115817;0,174378969;1,113384937;-323,8067621
0,003;0,00992251;0,174204611;0,17448697;1,080007847;-333,7708987
0,0031;0,010268904;0,174289098;0,174591351;1,043817023;-361,9082447
0,0032;0,010615734;0,17436923;0,174692078;1,007265625;-365,5139795
0,0033;0,010963355;0,174444774;0,174788942;0,968643321;-386,2230341
0,0034;0,011311666;0,174515651;0,174881864;0,929214426;-394,2889583
0,0035;0,011660465;0,174581838;0,174970811;0,889475941;-397,3848455
0,0036;0,012009958;0,174643397;0,175055863;0,850522673;-389,5326804
0,0037;0,012359967;0,174700802;0,175137486;0,816228508;-342,9416492
0,0038;0,012710568;0,174753752;0,175215388;0,779020817;-372,0769099
0,0039;0,01306138;0,174802246;0,175289546;0,741573024;-374,4779296
0,004;0,013412609;0,174846093;0,175359785;0,702396821;-391,7620278
0,0041;0,013764492;0,174885582;0,175426418;0,666323481;-360,7334031
0,0042;0,014116985;0,174920628;0,17548936;0,629418573;-369,049084
0,0043;0,014469643;0,174951239;0,175548588;0,592282766;-371,3580618
0,0044;0,014822962;0,174977159;0,17560389;0,553022421;-392,6034594
0,0045;0,015176772;0,174998497;0,175655369;0,514785226;-382,3719415
0,0046;0,015531405;0,175015016;0,175702818;0,474497365;-402,8786173
0,0047;0,015886457;0,175027286;0,175746779;0,439608855;-348,8850974
0,0048;0,016241996;0,175035072;0,175787027;0,402474384;-371,3447101
0,0049;0,016597925;0,175038087;0,175823273;0,362459252;-400,1513214
0,005;0,016954678;0,175035981;0,175855212;0,319393622;-430,6562951
0,0051;0,017312194;0,175028764;0,17588286;0,276477838;-429,1578454
0,0052;0,017670573;0,175016817;0,17590661;0,23750301;-389,7482795
0,0053;0,018029364;0,175000642;0,175926925;0,203144744;-343,5826609
0,0054;0,018388289;0,174980316;0,175943855;0,169304329;-338,4041495
0,0055;0,018747427;0,17495615;0,175957724;0,13868802;-306,1630912
0,0056;0,019106921;0,174928238;0,175968642;0,109179716;-295,0830404
0,0057;0,01946676;0,174896411;0,175976446;0,078039544;-311,4017135
0,0058;0,019827108;0,174860625;0,175981114;0,046679799;-313,5974497
0,0059;0,020187895;0,174820734;0,175982499;0,013854875;-328,2492412
0,006;0,02054909;0,174776359;0,175980229;-0,022703141;-365,5801563
0,0061;0,020910632;0,174727534;0,175974333;-0,058960604;-362,5746337
0,0062;0,02127238;0,174674666;0,175965204;-0,091284253;-323,236493
0,0063;0,021634944;0,174617413;0,175952584;-0,126203567;-349,1931419
0,0064;0,02199773;0,174556034;0,175936663;-0,159214925;-330,1135744
0,0065;0,022360805;0,174490563;0,175917487;-0,191755149;-325,4022431
0,0066;0,022724053;0,17442089;0,175894939;-0,225481998;-337,268485
0,0067;0,023087314;0,174347051;0,175869038;-0,259012993;-335,3099511
0,0068;0,023451336;0,174268975;0,175839816;-0,29221766;-332,0466752
0,0069;0,023815507;0,174187072;0,175807606;-0,322097271;-298,7961052
0,007;0,024180057;0,174101169;0,175772274;-0,353318765;-312,214944
0,0071;0,024544794;0,174011161;0,175733694;-0,385805039;-324,8627398
0,0072;0,024909282;0,173917127;0,175691887;-0,418062861;-322,5782225
0,0073;0,025274534;0,173818732;0,175646673;-0,452148183;-340,8532176
0,0074;0,025640053;0,17371665;0,175598653;-0,480199599;-280,5141626
0,0075;0,026006058;0,17361079;0,175547776;-0,508768003;-285,6840388
0,0076;0,026372178;0,173501015;0,175493857;-0,539184569;-304,1656572
0,0077;0,02673761;0,173387891;0,17543734;-0,565169878;-259,8530893
0,0078;0,02710347;0,173271123;0,175378106;-0,592338498;-271,6861961
0,0079;0,027469323;0,173151099;0,175316476;-0,61630131;-239,6281291
0,008;0,027834939;0,173027667;0,175252268;-0,642084785;-257,834745
0,0081;0,028200872;0,172900624;0,175185373;-0,668948361;-268,6357562
0,0082;0,028566417;0,17277047;0,175116177;-0,691959601;-230,1123994
0,0083;0,028931701;0,172637133;0,175044632;-0,715453712;-234,9411109
0,0084;0,029296862;0,172500816;0,174970962;-0,736693281;-212,3956968
0,0085;0,029661582;0,172361587;0,174895186;-0,75776086;-210,6757839
0,0086;0,030026019;0,172219341;0,174817228;-0,779585025;-218,2416531
0,0087;0,030389927;0,172074503;0,174737467;-0,79761001;-180,2498463
0,0088;0,030753262;0,17192691;0,174655734;-0,81732657;-197,1656062
0,0089;0,031116262;0,171776049;0,174571569;-0,841650444;-243,2387327
0,009;0,031478878;0,171621899;0,174484945;-0,866245251;-245,9480704
0,0091;0,031841746;0,171463974;0,174395502;-0,894424073;-281,7882271
0,0092;0,032204417;0,171302701;0,174303585;-0,919166932;-247,4285908
0,0093;0,032566979;0,171138203;0,174209335;-0,942500023;-233,3309044
0,0094;0,032928099;0,170971712;0,174113716;-0,956193188;-136,9316494
0,0095;0,03328836;0,170802933;0,174016542;-0,971743057;-155,4986886
0,0096;0,033646892;0,170632454;0,173918222;-0,983202284;-114,5922736
0,0097;0,034003831;0,170460057;0,17381856;-0,996619384;-134,1710041
0,0098;0,034360105;0,170285024;0,173717029;-1,015309309;-186,8992471
0,0099;0,034715427;0,170107598;0,173613812;-1,032165695;-168,563861
0,01;0,035070422;0,169927339;0,173508603;-1,052096096;-199,304006
0,0101;0,035424551;0,169744531;0,173401571;-1,070318063;-182,2196736
0,0102;0,035777912;0,169559024;0,17329259;-1,089810289;-194,9222598
0,0103;0,036130011;0,169371175;0,173181906;-1,106838849;-170,2855959
0,0104;0,036480229;0,169181399;0,173069792;-1,12113434;-142,9549126
0,0105;0,036829183;0,168989484;0,172956163;-1,136292715;-151,5837473
0,0106;0,037176174;0,168795989;0,172841412;-1,147507887;-112,1517228
0,0107;0,037521882;0,16860072;0,172725488;-1,159239456;-117,3156947
0,0108;0,037865262;0,168404442;0,172608905;-1,165829563;-65,90106219
0,0109;0,038206869;0,168206972;0,172491595;-1,173101117;-72,7155407
0,011;0,038545942;0,168008807;0,172373864;-1,177314018;-42,12900983
0,0111;0,038882513;0,167809968;0,172255726;-1,181376367;-40,62349665
0,0112;0,039216923;0,16761025;0,172137047;-1,186790643;-54,1427592
0,0113;0,039548734;0,167410029;0,172018081;-1,189663906;-28,73262372
0,0114;0,039878956;0,167208767;0,171898525;-1,195559461;-58,95555125
0,0115;0,040206613;0,167007231;0,17177889;-1,196349738;-7,902771409
0,0116;0,040532472;0,166805046;0,171658977;-1,199125479;-27,7574113
0,0117;0,040855622;0,16660288;0,171539212;-1,197649363;14,76116105
0,0118;0,041176059;0,166400782;0,171419626;-1,195862683;17,86680149
0,0119;0,041494114;0,16619868;0,171300213;-1,194135879;17,26803753
0,012;0,041809258;0,165997035;0,171181277;-1,189355356;47,80522603
0,0121;0,04212217;0,165795506;0,171062641;-1,186362474;29,92882366
0,0122;0,042432541;0,165594407;0,170944518;-1,181230202;51,32272004
0,0123;0,042740348;0,165393827;0,170826975;-1,175427584;58,0261811
0,0124;0,043045969;0,165193613;0,170709945;-1,170302272;51,2531228
0,0125;0,04334902;0,164994126;0,170593667;-1,16278056;75,21711639
0,0126;0,043649571;0,164795433;0,170478209;-1,154576573;82,03986905
0,0127;0,043947458;0,164597785;0,170363758;-1,144511255;100,6531824
0,0128;0,044242645;0,164401352;0,170250452;-1,133063498;114,4775705
0,0129;0,044535362;0,164206122;0,170138323;-1,121282849;117,8064873
0,013;0,044825283;0,164012479;0,170027642;-1,106810071;144,7277814
0,0131;0,045112362;0,163820602;0,169918554;-1,090886756;159,2331462
0,0132;0,045396653;0,163630589;0,169811147;-1,074065135;168,2162181
0,0133;0,045677918;0,163442757;0,169705648;-1,05499052;190,7461468
0,0134;0,045956279;0,163257147;0,169602109;-1,035385989;196,0453124
0,0135;0,046231843;0,163073796;0,169500578;-1,015310793;200,7519556
0,0136;0,046504472;0,162892919;0,169401207;-0,993711782;215,9901156
0,0137;0,046774275;0,162714534;0,169304023;-0,971839132;218,7264933
0,0138;0,04704137;0,16253864;0,169209042;-0,94981118;220,279518
0,0139;0,047305732;0,162365345;0,169116343;-0,926989527;228,2165305
0,014;0,047567471;0,162194634;0,169025926;-0,904170237;228,192904
0,0141;0,047826644;0,162026537;0,168937818;-0,881079517;230,9071949
0,0142;0,048083171;0,161861197;0,16885212;-0,856980323;240,9919469
0,0143;0,048337135;0,161698622;0,168768844;-0,832757597;242,2272604
0,0144;0,048588671;0,161538765;0,168687971;-0,808738962;240,1863458
0,0145;0,048837776;0,161381724;0,168609577;-0,783937504;248,0145802
0,0146;0,049084494;0,161227585;0,168533741;-0,758358251;255,7925357
0,0147;0,049328973;0,161076341;0,168460486;-0,732552847;258,0540309
0,0148;0,049571305;0,160928026;0,168389857;-0,706286691;262,6615618
0,0149;0,049811532;0,160782702;0,168321912;-0,679454148;268,3254314
0,015;0,050049721;0,16064039;0,168256677;-0,652341051;271,1309721
0,0151;0,050285875;0,160501169;0,168194217;-0,624605873;277,3517798
0,0152;0,050519904;0,160365211;0,168134653;-0,595635264;289,7060863
0,0153;0,05075176;0,160232654;0,168078091;-0,565624095;300,1116962
0,0154;0,0509815;0,16010353;0,168024563;-0,535281761;303,4233355
0,0155;0,051209196;0,159977846;0,167974085;-0,504781897;304,9986398
0,0156;0,051434892;0,159855636;0,167926688;-0,473965456;308,1644099
0,0157;0,051658608;0,159736886;0,167882353;-0,443348783;306,1667357
0,0158;0,051876341;0,159617312;0,167835756;-0,465967323;-226,1854004
0,0159;0,052087858;0,159496686;0,167786584;-0,491724881;-257,5755864
0,016;0,052292869;0,159374744;0,167734472;-0,52111609;-293,912084
0,0161;0,052491062;0,15925114;0,167678971;-0,555014767;-338,9867702
0,0162;0,052682102;0,15912554;0,167619633;-0,593378128;-383,633611
0,0163;0,05286601;0,158998159;0,167556645;-0,629875779;-364,9765137
0,0164;0,053043567;0,158869574;0,167490781;-0,65864984;-287,7406135
0,0165;0,053215748;0,158740413;0,167422921;-0,678594194;-199,4435311
0,0166;0,053383182;0,158611101;0,167353654;-0,692666645;-140,7245146
0,0167;0,053546123;0,158481888;0,167283281;-0,703736516;-110,698709
0,0168;0,053704689;0,158352966;0,167212007;-0,712735497;-89,98980844
0,0169;0,053859077;0,158224556;0,167140092;-0,719154594;-64,19097451
0,017;0,054009609;0,158096899;0,167067853;-0,722392283;-32,37688805
0,0171;0,054156674;0,157970203;0,1669956;-0,722524903;-1,326198576
0,0172;0,054298879;0,157844284;0,166922696;-0,729042291;-65,17387726
0,0173;0,054439367;0,157719736;0,166850711;-0,719848312;91,93978573
0,0174;0,054581651;0,157597189;0,166781386;-0,693254206;265,9410586
0,0175;0,054725148;0,157476506;0,166714401;-0,669843192;234,1101471
