Time (s);Position_X;Position_Y;norme;vitesse;acceleration
0;0;0,17;0,17;0;0
0,0001;0;0,17;0,17;0;0
0,0002;0,000577594;0,169775675;0,169776658;-2,233420905;-22334,20905
0,0003;0,001155167;0,16955481;0,169558745;-2,179131597;542,8930825
0,0004;0,001733106;0,169337131;0,169345999;-2,12745519;516,7640741
0,0005;0,00231138;0,169122464;0,169138258;-2,077417024;500,3816611
0,0006;0,002890191;0,168911026;0,168935751;-2,025070074;523,4695001
0,0007;0,00346993;0,168703244;0,168738925;-1,96825516;568,1491352
0,0008;0,004050515;0,168498844;0,168547522;-1,914031098;542,2406218
0,0009;0,004631802;0,168297636;0,168361361;-1,861612426;524,1867214
0,001;0,005213988;0,16810027;0,168181113;-1,802481289;591,3113648
0,0011;0,005796689;0,167906714;0,168006745;-1,743678576;588,0271286
0,0012;0,006379679;0,167716555;0,167837848;-1,688971179;547,0739783
0,0013;0,006962872;0,167529785;0,167674418;-1,6342981;546,7307815
0,0014;0,007546147;0,167345996;0,167516049;-1,583688825;506,0927521
0,0015;0,008129376;0,167164881;0,167362434;-1,53615022;475,3860505
0,0016;0,00871261;0,166986286;0,167213424;-1,490099063;460,5115712
0,0017;0,009295929;0,166810224;0,167069043;-1,443805743;462,9331961
0,0018;0,009879434;0,166636763;0,166929369;-1,396747571;470,5817283
0,0019;0,010463205;0,166465841;0,166794349;-1,350194732;465,5283906
0,002;0,011047252;0,166297396;0,16666393;-1,30419203;460,0270157
0,0021;0,011631552;0,166131422;0,166538111;-1,258191467;460,005631
0,0022;0,012216075;0,165967875;0,16641685;-1,212606303;455,8516363
0,0023;0,012800809;0,165806687;0,166300085;-1,167655575;449,5072837
0,0024;0,013385773;0,165647897;0,16618786;-1,122246004;454,0957126
0,0025;0,013971024;0,165491745;0,166080424;-1,074362895;478,8310814
0,0026;0,014556658;0,165338296;0,165977855;-1,025684857;486,7803863
0,0027;0,015142648;0,165187417;0,165880025;-0,978303403;473,8145352
0,0028;0,015728931;0,165038921;0,165786745;-0,932797626;455,0577681
0,0029;0,0163155;0,164892708;0,16569792;-0,888249206;445,4842034
0,003;0,016902394;0,164748763;0,165613543;-0,843768161;444,8104493
0,0031;0,017489659;0,164607054;0,165533593;-0,799506138;442,6202321
0,0032;0,018077296;0,16446747;0,165457962;-0,756305981;432,0015698
0,0033;0,018665258;0,16432986;0,165386501;-0,714609673;416,9630835
0,0034;0,01925349;0,1641941;0,165319083;-0,674180777;404,2889581
0,0035;0,019841934;0,164060086;0,165255603;-0,634805355;393,7542152
0,0036;0,020430532;0,163927732;0,165195968;-0,596342078;384,6327691
0,0037;0,02101922;0,163796955;0,165140092;-0,558765983;375,7609517
0,0038;0,021607933;0,163667671;0,165087883;-0,522085655;366,8032831
0,0039;0,022196609;0,163539795;0,165039249;-0,486338218;357,4743656
0,004;0,022785186;0,163413239;0,164994095;-0,45154468;347,9353824
0,0041;0,023373615;0,163287918;0,164952326;-0,417686949;338,5773155
0,0042;0,02396185;0,163163751;0,164913856;-0,384703504;329,834443
0,0043;0,024549853;0,163040667;0,164878605;-0,352512178;321,9132662
0,0044;0,025137527;0,162918631;0,164846522;-0,32083134;316,8083777
0,0045;0,025724736;0,162797568;0,164817506;-0,290157759;306,7358139
0,0046;0,02631144;0,162677404;0,164791473;-0,260322834;298,3492414
0,0047;0,026897674;0,162558094;0,164768379;-0,2309441;293,7873426
0,0048;0,027483477;0,162439604;0,164748191;-0,201876492;290,6760813
0,0049;0,028068856;0,162321901;0,164730872;-0,173190243;286,8624892
0,005;0,028653798;0,162204946;0,164716377;-0,144956461;282,3378243
0,0051;0,029238329;0,162088715;0,164704679;-0,116976735;279,7972567
0,0052;0,029822264;0,161973143;0,164695679;-0,090004706;269,7202902
0,0053;0,030405477;0,161858153;0,164689267;-0,064119235;258,8547062
0,0054;0,030987908;0,161743695;0,164685377;-0,038895111;252,2412461
0,0055;0,031569542;0,161629737;0,164683963;-0,014140303;247,5480817
0,0056;0,032150382;0,16151625;0,16468499;0,010272989;244,1329127
0,0057;0,032730448;0,161403214;0,164688432;0,034418364;241,4537541
0,0058;0,033309756;0,16129061;0,164694264;0,05831808;238,9971594
0,0059;0,033888315;0,161178417;0,164702459;0,081952625;236,3454481
0,006;0,034466125;0,161066614;0,164712987;0,10527595;233,2332526
0,0061;0,035043175;0,160955175;0,16472581;0,128232291;229,5634104
0,0062;0,035619446;0,16084407;0,164740887;0,150768655;225,3636343
0,0063;0,03619491;0,160733268;0,164758171;0,172841275;220,7262081
0,0064;0,036769536;0,160622735;0,164777613;0,194418535;215,7725933
0,0065;0,037343291;0,160512436;0,164799161;0,21548265;210,6411555
0,0066;0,037916141;0,160402337;0,164822764;0,236029383;205,4673289
0,0067;0,038488052;0,160292405;0,164848371;0,256064089;200,3470563
0,0068;0,039058992;0,160182607;0,16487593;0,275595267;195,3117841
0,0069;0,039628931;0,16007291;0,164905393;0,294628814;190,3354698
0,007;0,040197839;0,159963283;0,16493671;0,313164926;185,3611179
0,0071;0,040765683;0,159853695;0,164969829;0,331197635;180,327093
0,0072;0,041332431;0,159744112;0,165004701;0,348716121;175,1848596
0,0073;0,04189805;0,159634504;0,165041272;0,365706945;169,908237
0,0074;0,042462503;0,159524835;0,165079487;0,382157357;164,5041197
0,0075;0,043025752;0,159415074;0,165119293;0,398061469;159,0411243
0,0076;0,043587762;0,159305188;0,165160636;0,413428817;153,6734749
0,0077;0,044148499;0,159195147;0,165203465;0,42828622;148,5740315
0,0078;0,04470793;0,159084924;0,165247729;0,442645189;143,5896939
0,0079;0,045265943;0,158974439;0,165293309;0,455791485;131,4629562
0,008;0,045822515;0,15886366;0,165340151;0,468419192;126,2770745
0,0081;0,04637767;0,158752526;0,165388188;0,480373672;119,5448002
0,0082;0,046931424;0,158640976;0,165437353;0,491654092;112,8041959
0,0083;0,047483784;0,158528953;0,165487579;0,502257276;106,031841
0,0084;0,048034745;0,158416401;0,165538795;0,51216371;99,06434237
0,0085;0,048584288;0,158303263;0,16559093;0,52134239;91,78679905
0,0086;0,049132386;0,158189482;0,165643906;0,529762827;84,20436359
0,0087;0,049679009;0,158075001;0,165697646;0,537400038;76,37211754
0,0088;0,050224123;0,15795976;0,165752069;0,544228448;68,28409946
0,0089;0,050767691;0,157843697;0,16580709;0,550209904;59,81455807
0,009;0,051309674;0,157726743;0,165862618;0,555283842;50,73937953
0,0091;0,051850024;0,157608825;0,165918555;0,559367649;40,83807306
0,0092;0,052388691;0,157489863;0,165974793;0,562379208;30,115586
0,0093;0,05292563;0,157369773;0,166031226;0,564327193;19,47984768
0,0094;0,053460824;0,157248482;0,166087763;0,565371619;10,44425733
0,0095;0,053994286;0,157125933;0,16614434;0,565774558;4,029398315
0,0096;0,05452604;0,157002077;0,166200906;0,565658729;-1,158297203
0,0097;0,055056125;0,156876884;0,166257432;0,56525873;-3,999988188
0,0098;0,055584576;0,156750346;0,166313908;0,564759422;-4,993078315
0,0099;0,0561114;0,156622454;0,166370317;0,564088612;-6,708102995
0,01;0,05663656;0,156493196;0,166426621;0,563041291;-10,47320477
0,0101;0,057159968;0,156362537;0,166482747;0,561261103;-17,80188138
0,0102;0,057681562;0,156230475;0,166538656;0,559087024;-21,74078797
0,0103;0,058201344;0,156097048;0,166594372;0,557160647;-19,2637778
0,0104;0,058719375;0,155962324;0,166649968;0,555957527;-12,03119321
0,0105;0,059235727;0,155826373;0,166705519;0,555511324;-4,462029948
0,0106;0,059750446;0,155689244;0,166761076;0,555572558;0,612335394
0,0107;0,060263545;0,155550963;0,166816657;0,555808821;2,362636412
0,0108;0,060775004;0,155411542;0,166872252;0,555956362;1,475406275
0,0109;0,061284791;0,155270979;0,166927837;0,555843199;-1,131625846
0,011;0,061792864;0,155129263;0,166983372;0,555348724;-4,944749202
0,0111;0,062299181;0,154986373;0,167038809;0,554376815;-9,71909522
0,0112;0,0628037;0,154842281;0,167094096;0,552865087;-15,11728195
0,0113;0,063306386;0,154696952;0,167149172;0,550761331;-21,03755692
0,0114;0,063807175;0,15455033;0,167203948;0,547756423;-30,04907598
0,0115;0,064305909;0,154402296;0,167258241;0,542932748;-48,23675697
0,0116;0,064802376;0,154252688;0,167311804;0,535629368;-73,03379848
0,0117;0,065296358;0,154101311;0,167364358;0,525545019;-100,8434864
0,0118;0,065787919;0,153948127;0,167415878;0,515197593;-103,4742647
0,0119;0,066277282;0,153793202;0,167466496;0,506175838;-90,21754975
0,012;0,066764596;0,153636586;0,167516303;0,498077595;-80,98243238
0,0121;0,067249909;0,153478291;0,167565318;0,490148581;-79,29013274
0,0122;0,067733201;0,153318322;0,167613527;0,482091686;-80,56895571
0,0123;0,068214419;0,153156684;0,167660898;0,473708202;-83,83483599
0,0124;0,068693562;0,152993426;0,167707466;0,465672955;-80,35247535
0,0125;0,069170661;0,152828621;0,167753295;0,458293475;-73,79479631
0,0126;0,069645674;0,152662294;0,167798379;0,450838798;-74,54677408
0,0127;0,070118528;0,152494449;0,167842679;0,443002337;-78,36460994
0,0128;0,070589215;0,152325118;0,167886208;0,435294626;-77,07710437
0,0129;0,071057812;0,152154361;0,16792904;0,428310935;-69,83690863
0,013;0,071524371;0,151982205;0,167971207;0,421672335;-66,38600502
0,0131;0,071988916;0,151808626;0,168012687;0,414799347;-68,72987588
0,0132;0,072451449;0,151633609;0,168053455;0,407680308;-71,19039419
0,0133;0,072911993;0,15145716;0,168093516;0,40061343;-70,66877404
0,0134;0,07337056;0,151279277;0,16813286;0,393439687;-71,73743742
0,0135;0,073827132;0,151099934;0,168171447;0,38586629;-75,73397096
0,0136;0,074281681;0,150919111;0,168209233;0,377865415;-80,00874773
0,0137;0,074734198;0,150736803;0,168246201;0,369675997;-81,89418258
0,0138;0,075184666;0,150553009;0,168282329;0,361283696;-83,92300143
0,0139;0,075633051;0,150367714;0,16831758;0,352511758;-87,71938
0,014;0,076079336;0,150180915;0,168351931;0,343503753;-90,08005306
0,0141;0,076523539;0,149992629;0,168385394;0,334630266;-88,73486965
0,0142;0,076965685;0,149802881;0,168417991;0,325976786;-86,53480314
0,0143;0,077405778;0,149611683;0,168449726;0,317343704;-86,33081367
0,0144;0,077843822;0,149419045;0,168480597;0,308712146;-86,31558315
0,0145;0,078279839;0,149224987;0,168510623;0,30026132;-84,5082577
0,0146;0,078713852;0,149029535;0,168539826;0,292023358;-82,37962804
0,0147;0,079145862;0,148832698;0,168568204;0,28378215;-82,41207329
0,0148;0,07957586;0,148634481;0,168595749;0,275450515;-83,31634734
0,0149;0,080003852;0,148434898;0,168622464;0,267150076;-83,0043955
0,015;0,080429846;0,148233967;0,168648359;0,258956259;-81,93817195
0,0151;0,080853844;0,148031695;0,168673433;0,250733224;-82,23034576
0,0152;0,081275834;0,147828086;0,168697671;0,242379203;-83,54020828
0,0153;0,081695814;0,147623145;0,168721068;0,233977885;-84,01317864
0,0154;0,082113795;0,147416887;0,168743634;0,225652018;-83,25867194
0,0155;0,082529785;0,147209324;0,168765371;0,21737062;-82,81398635
0,0156;0,082943784;0,147000461;0,168786276;0,20905444;-83,16179445
0,0157;0,083355797;0,146790308;0,168806349;0,20073267;-83,21769794
0,0158;0,083765833;0,146578878;0,168825597;0,192478109;-82,54561658
0,0159;0,084173898;0,146366182;0,168844024;0,184266647;-82,11461508
0,016;0,084579992;0,14615223;0,168861627;0,176034591;-82,32056342
0,0161;0,084984116;0,145937031;0,168878409;0,167813546;-82,21044962
0,0162;0,085386281;0,145720601;0,168894377;0,159680995;-81,32551299
0,0163;0,085786494;0,145502956;0,16890954;0,15163148;-80,49514235
0,0164;0,086184755;0,145284107;0,168923899;0,143594499;-80,36981818
0,0165;0,086581066;0,145064065;0,168937456;0,135566545;-80,27953921
0,0166;0,086975434;0,144842846;0,168950218;0,127618316;-79,48229135
0,0167;0,08736787;0,144620466;0,168962196;0,119784034;-78,34281339
0,0168;0,08775838;0,144396939;0,168973398;0,112020942;-77,63092082
0,0169;0,088146969;0,144172279;0,168983828;0,104297942;-77,23000301
0,017;0,088533644;0,143946498;0,168993492;0,096640178;-76,5776383
0,0171;0,088918411;0,143719613;0,169002399;0,089071177;-75,69001161
0,0172;0,089301278;0,143491637;0,169010556;0,081568571;-75,02605605
0,0173;0,08968225;0,143262582;0,169017967;0,074111047;-74,57524382
0,0174;0,090061331;0,143032462;0,169024639;0,066716642;-73,94404914
0,0175;0,09043853;0,142801293;0,16903058;0,059406335;-73,10307359
0,0176;0,090813852;0,142569087;0,169035796;0,052164093;-72,42241498
0,0177;0,091187303;0,142335858;0,169040293;0,044966478;-71,9761547
0,0178;0,091558885;0,142101618;0,169044075;0,037825949;-71,40528762
