Time (s);Position_X;Position_Y;norme;vitesse;acceleration
0;0;0,17;0,17;0;0
0,0001;0;0,17;0,17;0;0
0,0002;0,000735989;0,170082002;0,170083594;0,835944297;8359,442972
0,0003;0,001471338;0,17016225;0,170168611;0,850166816;142,2251889
0,0004;0,002206574;0,170241073;0,170255372;0,867613038;174,4622194
0,0005;0,002941732;0,170318457;0,17034386;0,884877658;172,6462043
0,0006;0,003676812;0,170394318;0,170433983;0,901232797;163,5513872
0,0007;0,004411508;0,170466349;0,170523423;0,894391386;-68,41410776
0,0008;0,005145545;0,17053582;0,170613431;0,900079592;56,88205754
0,0009;0,005878943;0,17060292;0,170704184;0,90753359;74,53997485
0,001;0,006611929;0,170667478;0,170795508;0,913241776;57,08186054
0,0011;0,00734465;0,170729765;0,170887672;0,921639118;83,97342379
0,0012;0,008077128;0,170789847;0,170980735;0,930633727;89,94609197
0,0013;0,008809346;0,170847617;0,171074583;0,93847586;78,42133221
0,0014;0,009541275;0,170902991;0,171169121;0,945383286;69,07425817
0,0015;0,010272904;0,170955935;0,171264311;0,951895605;65,12318642
0,0016;0,01100423;0,171006366;0,17136006;0,957490991;55,95386426
0,0017;0,011735238;0,171054107;0,171456184;0,961244707;37,53715674
0,0018;0,01246592;0,171098912;0,171552431;0,962470527;12,25820333
0,0019;0,013196315;0,171140513;0,171648531;0,960990922;-14,79605061
0,002;0,013926465;0,171178747;0,171744315;0,957848202;-31,42719881
0,0021;0,014656404;0,171213451;0,171839623;0,953073337;-47,74865768
0,0022;0,015386141;0,171244282;0,171934108;0,944853569;-82,19767752
0,0023;0,016115672;0,171270284;0,172026815;0,927066075;-177,8749343
0,0024;0,016845174;0,171291474;0,172117776;0,909618021;-174,480542
0,0025;0,01757458;0,171308484;0,172207615;0,898382298;-112,3572373
0,0026;0,018303794;0,171321082;0,172296088;0,884733444;-136,4885394
0,0027;0,019032703;0,171329105;0,172383021;0,869326896;-154,0654727
0,0028;0,01976127;0,17133285;0,172468702;0,856812144;-125,1475268
0,0029;0,020489578;0,171332492;0,172553312;0,846104875;-107,0726845
0,003;0,021217698;0,171328213;0,172637039;0,837264951;-88,39923782
0,0031;0,021945699;0,171320125;0,172720002;0,829630818;-76,34133541
0,0032;0,022673587;0,171308225;0,172802197;0,821952553;-76,78264843
0,0033;0,023401274;0,171292342;0,172883446;0,81249137;-94,61182766
0,0034;0,024128619;0,171272038;0,172963295;0,798484809;-140,0656147
0,0035;0,024855629;0,171247183;0,173041614;0,78318847;-152,9633896
0,0036;0,025582281;0,171217553;0,173118178;0,765638793;-175,4967657
0,0037;0,026308748;0,171182972;0,173192841;0,746634538;-190,0425539
0,0038;0,02703503;0,171143809;0,173265969;0,731282726;-153,5181227
0,0039;0,027761087;0,171099683;0,173337184;0,712147304;-191,354215
0,004;0,028486913;0,171050821;0,173406712;0,695276675;-168,7062893
0,0041;0,029212448;0,170997662;0,173474976;0,682646648;-126,3002722
0,0042;0,029937701;0,17093994;0,173541721;0,667447444;-151,9920395
0,0043;0,030662746;0,170877513;0,173606821;0,651001291;-164,4615279
0,0044;0,031387574;0,170810202;0,173670103;0,632821273;-181,8001772
0,0045;0,032112156;0,170738086;0,173731646;0,615421278;-173,9999599
0,0046;0,032836437;0,170661481;0,173791751;0,601059107;-143,6217078
0,0047;0,033560369;0,170580227;0,173850258;0,585065437;-159,9367022
0,0048;0,034283963;0,17049408;0,173906933;0,566754522;-183,1091471
0,0049;0,035007228;0,170402922;0,173961667;0,547338433;-194,1608833
0,005;0,035730186;0,170306729;0,174014448;0,527805657;-195,3277623
0,0051;0,036452799;0,170205711;0,174065478;0,510296398;-175,0925972
0,0052;0,03717503;0,170099819;0,174114707;0,492296022;-180,0037563
0,0053;0,037896875;0,169989015;0,174162103;0,473963814;-183,3220761
0,0054;0,038618321;0,169873151;0,174207526;0,4542232;-197,4061427
0,0055;0,039339414;0,169752301;0,174251064;0,435383971;-188,3922852
0,0056;0,040060143;0,169626728;0,174292977;0,419132219;-162,5175238
0,0057;0,040780472;0,169496333;0,174333169;0,401913968;-172,1825112
0,0058;0,041500387;0,169361183;0,174371708;0,385388809;-165,2515881
0,0059;0,042219864;0,169221376;0,17440869;0,369819265;-155,6954381
0,006;0,042938909;0,169076859;0,174444072;0,353820386;-159,9887913
0,0061;0,043657522;0,168927698;0,174477925;0,338536404;-152,8398219
0,0062;0,044375673;0,168773836;0,174510195;0,322698541;-158,3786296
0,0063;0,045093336;0,168615244;0,174540853;0,306583043;-161,1549819
0,0064;0,045810489;0,168451944;0,174569924;0,290701421;-158,8162198
0,0065;0,04652713;0,16828399;0,174597466;0,275420154;-152,8126689
0,0066;0,047243255;0,168111425;0,174623528;0,260621864;-147,9828997
0,0067;0,047958855;0,167934195;0,174648063;0,245348598;-152,732656
0,0068;0,048673906;0,167752385;0,174671153;0,23090267;-144,4592821
0,0069;0,049388383;0,16756603;0,174692836;0,21682897;-140,7370007
0,007;0,050102282;0,167375111;0,174713098;0,202617797;-142,1117278
0,0071;0,050815598;0,167179717;0,174732032;0,189339668;-132,7812985
0,0072;0,05152832;0,166979856;0,17474965;0,1761833;-131,5636797
0,0073;0,052240433;0,166775539;0,174765968;0,163176126;-130,0717312
0,0074;0,052951913;0,166566832;0,174781047;0,150797431;-123,7869523
0,0075;0,053662748;0,166353787;0,174794946;0,13898286;-118,1457113
0,0076;0,054372926;0,166136429;0,174807689;0,127434764;-115,4809583
0,0077;0,055082442;0,165914787;0,174819312;0,116231919;-112,0284491
0,0078;0,055791282;0,16568894;0,174829894;0,105822009;-104,0991056
0,0079;0,056499425;0,165458921;0,174839468;0,095731889;-100,9011933
0,008;0,057206854;0,165224762;0,174848066;0,085979139;-97,5275054
0,0081;0,05791356;0,164986545;0,174855771;0,077054431;-89,24707633
0,0082;0,058619532;0,164744306;0,17486262;0,068490178;-85,64253645
0,0083;0,05932476;0,164498076;0,174868648;0,060284095;-82,06083154
0,0084;0,060029229;0,164247924;0,174873923;0,052742335;-75,41759971
0,0085;0,060732922;0,163993898;0,174878491;0,045679572;-70,62762097
0,0086;0,061435826;0,163736039;0,174882392;0,039015394;-66,64178569
0,0087;0,062137928;0,163474398;0,17488568;0,0328744;-61,40993719
0,0088;0,062839221;0,16320903;0,174888408;0,027284103;-55,90297626
0,0089;0,06353969;0,162939973;0,174890615;0,022067949;-52,16153119
0,009;0,064239322;0,162667269;0,174892341;0,017264346;-48,03603366
0,0091;0,064938102;0,162390978;0,174893644;0,013028029;-42,36316813
0,0092;0,065636016;0,162111144;0,174894567;0,009231782;-37,9624727
0,0093;0,066333054;0,161827805;0,174895147;0,005797989;-34,3379312
0,0094;0,067029204;0,161541006;0,174895428;0,002812487;-29,8550164
0,0095;0,067724455;0,161250794;0,174895456;0,000277678;-25,34809689
0,0096;0,068418792;0,16095721;0,174895268;-0,001882863;-21,6054032
0,0097;0,069112202;0,160660296;0,174894903;-0,003648708;-17,65844747
0,0098;0,069804671;0,160360097;0,174894405;-0,00497948;-13,30772376
0,0099;0,070496189;0,160056654;0,174893811;-0,00594038;-9,608996887
0,01;0,071186745;0,15975;0,174893154;-0,006571955;-6,315756598
0,0101;0,071876326;0,159440177;0,17489247;-0,006834586;-2,62630592
0,0102;0,072564919;0,159127225;0,174891799;-0,006715994;1,185916992
0,0103;0,073252512;0,158811181;0,174891172;-0,006270537;4,454569955
0,0104;0,073939092;0,158492081;0,17489062;-0,005515576;7,549615266
0,0105;0,074624647;0,158169959;0,174890177;-0,004433807;10,81768394
0,0106;0,075309166;0,157844851;0,174889872;-0,003043996;13,89811671
0,0107;0,075992635;0,157516783;0,174889729;-0,0014286;16,15395464
0,0108;0,076675038;0,157185769;0,174889758;0,000287612;17,16212317
0,0109;0,077356356;0,156851817;0,17488996;0,002020451;17,32839132
0,011;0,078036572;0,156514931;0,174890338;0,003775824;17,55372777
0,0111;0,07871567;0,156175116;0,174890891;0,005529444;17,53620026
0,0112;0,07939363;0,155832365;0,174891607;0,007165569;16,36125357
0,0113;0,080070431;0,155486659;0,174892467;0,008597333;14,31763193
0,0114;0,080746052;0,155137984;0,174893451;0,009837081;12,39748658
0,0115;0,081420474;0,154786334;0,174894547;0,010966704;11,29622677
0,0116;0,082093679;0,154431706;0,174895752;0,01204647;10,79766426
0,0117;0,08276565;0,154074097;0,174897056;0,013042878;9,964073891
0,0118;0,083436366;0,153713498;0,174898447;0,013902752;8,598738785
0,0119;0,084105808;0,153349898;0,174899909;0,014621964;7,192127535
0,012;0,084773953;0,152983287;0,174901427;0,015186034;5,640691345
0,0121;0,08544078;0,152613651;0,174902983;0,015551419;3,653855152
0,0122;0,086106265;0,152240973;0,174904553;0,015707061;1,556415899
0,0123;0,086770386;0,151865239;0,17490612;0,015664765;-0,422952109
0,0124;0,087433122;0,151486435;0,174907664;0,015438318;-2,264479773
0,0125;0,08809445;0,151104552;0,17490917;0,01506573;-3,725874009
0,0126;0,088754346;0,150719586;0,174910628;0,014574502;-4,912280396
0,0127;0,089412788;0,150331531;0,174912023;0,013952545;-6,219575205
0,0128;0,090069751;0,149940378;0,174913341;0,013185924;-7,666205051
0,0129;0,090725213;0,14954612;0,174914568;0,012270265;-9,156590267
0,013;0,091379148;0,149148748;0,174915688;0,011191083;-10,79181925
0,0131;0,092031532;0,148748253;0,174916682;0,009941512;-12,49570813
0,0132;0,092682338;0,148344627;0,174917535;0,008536446;-14,05066272
0,0133;0,093331542;0,147937866;0,174918235;0,00699256;-15,43885765
0,0134;0,093979118;0,147527964;0,174918767;0,005321809;-16,70751358
0,0135;0,094625043;0,147114921;0,17491912;0,003536708;-17,85100676
0,0136;0,095269292;0,146698732;0,174919284;0,001639971;-18,96737514
0,0137;0,095911838;0,146279398;0,174919247;-0,000375655;-20,15625993
0,0138;0,096552655;0,145856915;0,174918995;-0,002515521;-21,39865936
0,0139;0,097191191;0,145431321;0,174918258;-0,007377486;-48,6196515
0,014;0,097826831;0,145002671;0,174916733;-0,015247059;-78,69572539
0,0141;0,098459539;0,144570993;0,174914416;-0,02316779;-79,20731386
0,0142;0,099089286;0,144136326;0,174911312;-0,031036768;-78,68977951
0,0143;0,099716042;0,14369872;0,174907436;-0,038761064;-77,24295483
0,0144;0,100339773;0,143258212;0,174902789;-0,046475495;-77,14431482
0,0145;0,100960442;0,142814831;0,174897361;-0,054277368;-78,01872587
0,0146;0,101578008;0,142368583;0,174891123;-0,062375503;-80,98135402
0,0147;0,102192423;0,141919469;0,174884039;-0,07084427;-84,68766298
0,0148;0,102803639;0,141467478;0,174876058;-0,079810917;-89,6664748
0,0149;0,103411598;0,141012575;0,174867107;-0,089512814;-97,01897447
0,015;0,104016246;0,14055474;0,174857126;-0,099811149;-102,9833479
0,0151;0,104617527;0,140093942;0,174846045;-0,110805253;-109,9410343
0,0152;0,105215388;0,139630161;0,174833806;-0,122385453;-115,8020013
0,0153;0,105809782;0,139163403;0,174820373;-0,134337282;-119,5182952
0,0154;0,106400664;0,138693674;0,17480571;-0,146624316;-122,8703378
0,0155;0,106987986;0,138220985;0,174789788;-0,159223833;-125,9951682
0,0156;0,107571718;0,137745381;0,174772607;-0,171804776;-125,8094287
0,0157;0,108151811;0,137266889;0,17475415;-0,184570735;-127,6595967
0,0158;0,10872826;0,136785603;0,174734472;-0,196781633;-122,1089753
0,0159;0,109301022;0,136301587;0,174713583;-0,208895558;-121,1392513
0,016;0,109870166;0,135815068;0,174691689;-0,218937486;-100,4192808
0,0161;0,110435667;0,135326211;0,174668887;-0,228023067;-90,85581241
0,0162;0,110997618;0,134835271;0,174645417;-0,234694712;-66,71644724
0,0163;0,11155596;0,134342357;0,174621308;-0,241091895;-63,97182542
0,0164;0,112110654;0,13384745;0,174596503;-0,248051763;-69,59868022
0,0165;0,112661657;0,133350582;0,174570979;-0,255235644;-71,83881402
0,0166;0,113208925;0,132851768;0,174544701;-0,262777804;-75,42159489
0,0167;0,113752442;0,132351047;0,174517672;-0,270294885;-75,17081512
0,0168;0,114292172;0,131848452;0,174489871;-0,278012565;-77,17679883
0,0169;0,114828088;0,131344019;0,174461288;-0,285824395;-78,11829687
0,017;0,115360153;0,130837789;0,174431911;-0,293767934;-79,43539195
0,0171;0,115888343;0,130329805;0,174401738;-0,301737776;-79,69841712
0,0172;0,116413789;0,129819941;0,174371407;-0,303310134;-15,72358005
0,0173;0,116936899;0,12930814;0,174341141;-0,302659764;6,503695893
0,0174;0,117457656;0,128794407;0,17431093;-0,302111447;5,483172141
0,0175;0,117976034;0,128278744;0,174280753;-0,30176548;3,459667616
0,0176;0,118492007;0,127761159;0,174250594;-0,301590275;1,752055157
0,0177;0,119005551;0,127241653;0,174220433;-0,301609812;-0,19537367
